iso3,year,MA
GEO,2022,178078580.45041716
IND,2022,95424687.78752857
BMU,2022,133258719.68308611
TCD,2022,85848904.94976649
PHL,2022,126652462.3151267
SWZ,2022,56730992.97354961
CAN,2022,168251078.13254812
PRY,2022,63717832.9987376
KWT,2022,178786253.57577962
SYR,2022,224121455.96452433
NZL,2022,33292381.400604304
SEN,2022,77350431.64405957
BGD,2022,142381895.0608383
LKA,2022,96428327.43422759
TJK,2022,141383098.53010747
GUY,2022,73045064.92170548
BGR,2022,276974862.08936936
ZAF,2022,40582668.22544262
FJI,2022,37932641.84359395
LBN,2022,296559301.881845
SLV,2022,139041456.50129664
NGA,2022,75521015.82390207
TCA,2022,130901181.63276206
GBR,2022,441681380.7869973
DJI,2022,97226939.93887101
MYS,2022,124865476.53300795
