country,iso3,spei,spei_date,year,month,spei_lag1,spei_lag2,spei_lag3
Sri Lanka,LKA,-0.91295534,2019-01-16,2019,1,0.10678453,0.5269536,0.37285644
Sudan,SDN,-0.71291333,2019-01-16,2019,1,-0.067138374,-0.029331353,-0.14519571
Suriname,SUR,-0.826028,2019-01-16,2019,1,-0.36411428,0.027921986,-0.61446947
Sweden,SWE,-0.1838066,2019-01-16,2019,1,-0.28796285,-0.1495544,0.06625748
Switzerland,CHE,0.06787978,2019-01-16,2019,1,-0.6403872,-2.0304685,-1.6415297
Syria,SYR,1.2708364,2019-01-16,2019,1,1.3101248,0.27371764,-0.15984064
Taiwan,TWN,0.2390584,2019-01-16,2019,1,0.2338162,0.27768314,0.6773606
Tajikistan,TJK,0.6749116,2019-01-16,2019,1,0.18017562,0.6614089,-0.06130296
Thailand,THA,0.1550091,2019-01-16,2019,1,-0.36374122,-1.3093792,-0.9596511
The Bahamas,BHS,-0.32459232,2019-01-16,2019,1,-1.431609,-1.2154211,-1.0417877
Togo,TGO,-1.535069,2019-01-16,2019,1,0.0576853,0.6747605,1.1843829
Trinidad and Tobago,TTO,-2.416236,2019-01-16,2019,1,-0.9472791,0.8336425,1.5232344
Tunisia,TUN,-0.8502675,2019-01-16,2019,1,0.24721602,0.88150054,1.3389924
Turkey,TUR,1.3380558,2019-01-16,2019,1,1.2116826,0.23168194,0.39372903
Turkmenistan,TKM,0.22854963,2019-01-16,2019,1,0.4185373,0.12423431,-0.32555676
Uganda,UGA,0.29417518,2019-01-16,2019,1,-0.42782927,-1.2106096,-1.0115331
Ukraine,UKR,0.8572409,2019-01-16,2019,1,-0.26907778,-0.99284387,-1.7198532
United Arab Emirates,ARE,0.013769458,2019-01-16,2019,1,0.34525433,-0.19675203,-1.1703439
United Kingdom,GBR,-0.5689841,2019-01-16,2019,1,-0.079673104,-0.19718395,-0.57381606
United Republic of Tanzania,TZA,0.07342777,2019-01-16,2019,1,0.26866177,-0.01873613,-0.15250567
United States Virgin Islands,VIR,-0.19498008,2019-01-16,2019,1,0.55796623,0.38895112,-0.13394324
