origin,destination,dist_od
AFG,TJK,6.051453202034455
AFG,TKL,9.499603443989264
AFG,TKM,6.748301998517925
AFG,TMP,8.952792599565736
AFG,TON,9.526160091675893
AFG,TTO,9.450837279058597
AFG,TUN,8.551907226271386
AFG,TUR,8.070169254892384
AFG,TUV,9.422363115696507
AFG,TWN,8.553012163665628
AFG,TZA,8.631177733031038
AFG,UGA,8.57498462707781
AFG,UKR,8.083751050409544
AFG,URY,9.615642133410672
AFG,USA,9.35674109834338
AFG,UZB,6.504559843217923
AFG,VCT,9.43232645368082
AFG,VEN,9.489241000160618
AFG,VGB,9.416352413381697
AFG,VNM,8.406205092797869
AFG,VUT,9.389134046438123
AFG,WLF,9.486812345399976
AFG,WSM,9.51857552535748
AFG,YEM,8.091071701667348
AFG,YUG,8.333388615492824
AFG,ZAF,9.024978157063222
AFG,ZAR,8.810062785381724
AFG,ZMB,8.835131007655393
AFG,ZWE,8.875456413373401
AGO,ABW,9.16787045788202
AGO,AFG,8.93113083931207
AGO,AGO,4.2114678247204775
AGO,AIA,9.104361887637259
AGO,ALB,8.648153205879769
AGO,AND,8.691089858280185
AGO,ANT,9.147408239904541
AGO,ARE,8.688396839336344
AGO,ARG,8.982420683053554
AGO,ARM,8.765171081862503
AGO,ATG,9.08733001012521
AGO,AUS,9.463379756109392
AGO,AUT,8.767715928614667
AGO,AZE,8.801633364586623
AGO,BDI,7.543666807425217
AGO,BEL,8.826088366564166
AGO,BEN,7.743994936481088
AGO,BFA,8.009085869717243
AGO,BGD,9.117512658301475
AGO,BGR,8.691798386854646
AGO,BHR,8.638324747847424
AGO,BHS,9.269258126157794
AGO,BIH,8.70275034136183
AGO,BLR,8.878707387264685
AGO,BLZ,9.361271875812042
AGO,BMU,9.162975142105495
AGO,BOL,9.059426896743508
AGO,BRA,8.762742254092695
AGO,BRB,9.04778603008669
AGO,BRN,9.33199147256999
AGO,BTN,9.12310100536253
AGO,BWA,7.588644132313155
AGO,CAF,7.4453912713095
AGO,CAN,9.348939899878905
AGO,CCK,
AGO,CHE,8.75590658126512
AGO,CHL,9.098799687243037
AGO,CHN,9.376116640580037
AGO,CIV,7.896577626927641
AGO,CMR,7.4483088169030385
AGO,COG,6.38409581938883
AGO,COK,9.713770314989953
AGO,COL,9.208198579976319
AGO,COM,8.092865090417185
AGO,CPV,8.525827805608575
AGO,CRI,9.311433796536235
AGO,CUB,9.284653465948129
AGO,CXR,
AGO,CYM,9.297600967908192
AGO,CYP,8.592088953182222
AGO,CZE,8.801746223523304
AGO,DEU,8.82666209779417
AGO,DJI,8.299185678049612
AGO,DMA,9.076096611392131
AGO,DNK,8.895729896081987
AGO,DOM,9.18306701212048
AGO,DZA,8.55839501779124
AGO,ECU,9.243448208743507
AGO,EGY,8.47693999343389
AGO,ERI,8.28139870339336
AGO,ESH,8.516890345563061
AGO,ESP,8.665328328377223
AGO,EST,8.953968189076498
AGO,ETH,8.159395617564286
AGO,FIN,8.981295064509048
AGO,FJI,9.711436214566136
AGO,FLK,8.972977833294266
AGO,FRA,8.758349533931085
AGO,FRO,9.010621922983416
AGO,FSM,9.648861074038674
AGO,GAB,7.0201674730107095
AGO,GBR,8.865075513298287
AGO,GEO,8.782678120003917
AGO,GHA,7.780778946253616
AGO,GIB,8.610083901207547
AGO,GIN,8.201910502225626
AGO,GLP,9.080978674079361
AGO,GMB,8.345358771864166
AGO,GNB,8.302659964636726
AGO,GNQ,7.270003165190747
AGO,GRC,8.602757672156153
AGO,GRD,9.070477204477934
AGO,GRL,9.2018428702555
AGO,GTM,9.378712587523008
AGO,GUF,8.931408967174951
AGO,GUY,9.008459043994117
AGO,HKG,9.348503645857209
AGO,HND,9.350310988229607
AGO,HRV,8.720810541225138
AGO,HTI,9.207384307118454
AGO,HUN,8.760445048792308
AGO,IDN,9.247667948122043
AGO,IND,8.954201022460843
AGO,IRL,8.891131443267719
AGO,IRN,8.755516938325476
AGO,IRQ,8.66963028961504
AGO,ISL,9.077829943704426
AGO,ISR,8.5497571822895
AGO,ITA,8.670361731959709
AGO,JAM,9.253055932568076
AGO,JOR,8.557089829926651
AGO,JPN,9.52291796326074
AGO,KAZ,9.056317833938415
AGO,KEN,7.916651080601879
AGO,KGZ,9.039409810749751
AGO,KHM,9.242145193715814
AGO,KIR,9.775344473981058
AGO,KNA,9.082851372981457
AGO,KOR,9.4549024991401
AGO,KWT,8.645973314615274
AGO,LAO,9.24312696898752
AGO,LBN,8.589032620943222
AGO,LBR,8.074787919723676
AGO,LBY,8.448841542873334
AGO,LCA,9.067199296757
AGO,LKA,8.935960761478562
AGO,LSO,7.861795642499564
AGO,LTU,8.894322746142146
AGO,LUX,8.802138722953096
