country,ISO_A3,date,spei
Finland,FIN,2019-02-15,0.78088164
France,-99,2019-02-15,-0.9086028
French Polynesia,PYF,2019-02-15,0.09583926
French Southern and Antarctic Lands,ATF,2019-02-15,1.193893
Gabon,GAB,2019-02-15,0.17160751
Gambia,GMB,2019-02-15,-1.2544765
Georgia,GEO,2019-02-15,0.30207598
Germany,DEU,2019-02-15,0.17633824
Ghana,GHA,2019-02-15,-0.8538937
Greece,GRC,2019-02-15,0.29170033
Greenland,GRL,2019-02-15,0.46528652
Guatemala,GTM,2019-02-15,-0.652537
Guinea,GIN,2019-02-15,-0.56920105
Guinea-Bissau,GNB,2019-02-15,-1.0288124
Guyana,GUY,2019-02-15,-1.2697829
Haiti,HTI,2019-02-15,-1.48192
Honduras,HND,2019-02-15,-0.71620417
Hungary,HUN,2019-02-15,-0.82422334
Iceland,ISL,2019-02-15,0.85344106
India,IND,2019-02-15,0.34374827
Indonesia,IDN,2019-02-15,-0.25214997
Iran,IRN,2019-02-15,-0.042322237
Iraq,IRQ,2019-02-15,-0.15673073
Ireland,IRL,2019-02-15,-0.24225731
Israel,ISR,2019-02-15,0.8548709
Italy,ITA,2019-02-15,-1.0528588
Ivory Coast,CIV,2019-02-15,-0.5452693
Jamaica,JAM,2019-02-15,-0.3825291
Japan,JPN,2019-02-15,-0.95954806
Jordan,JOR,2019-02-15,0.9828677
Kazakhstan,KAZ,2019-02-15,-0.35631996
Kenya,KEN,2019-02-15,0.7116749
Kiribati,KIR,2019-02-15,
Kosovo,-99,2019-02-15,-0.60296124
Kuwait,KWT,2019-02-15,-1.4055976
Kyrgyzstan,KGZ,2019-02-15,0.014502076
Laos,LAO,2019-02-15,1.1662098
Latvia,LVA,2019-02-15,0.6913871
Lebanon,LBN,2019-02-15,1.4308003
Lesotho,LSO,2019-02-15,-1.2474147
Liberia,LBR,2019-02-15,-0.10442618
Libya,LBY,2019-02-15,0.25736454
Lithuania,LTU,2019-02-15,0.6251632
Luxembourg,LUX,2019-02-15,0.47539997
Madagascar,MDG,2019-02-15,-0.43492642
Malawi,MWI,2019-02-15,1.293936
Malaysia,MYS,2019-02-15,-0.52937025
Mali,MLI,2019-02-15,-0.47670943
Mauritania,MRT,2019-02-15,-0.71726805
Mauritius,MUS,2019-02-15,0.39701328
Mexico,MEX,2019-02-15,-0.1330123
Moldova,MDA,2019-02-15,0.24807729
Mongolia,MNG,2019-02-15,-0.10573241
Montenegro,MNE,2019-02-15,-0.53649086
Morocco,MAR,2019-02-15,-1.7679129
Mozambique,MOZ,2019-02-15,0.2528111
Myanmar,MMR,2019-02-15,0.86202306
Namibia,NAM,2019-02-15,-0.17457917
Nepal,NPL,2019-02-15,0.98483473
Netherlands,NLD,2019-02-15,-0.02963626
New Caledonia,NCL,2019-02-15,0.15284759
New Zealand,NZL,2019-02-15,-0.9886212
Nicaragua,NIC,2019-02-15,-1.4170235
Niger,NER,2019-02-15,0.06624038
Nigeria,NGA,2019-02-15,0.23790705
North Korea,PRK,2019-02-15,-1.6061883
North Macedonia,MKD,2019-02-15,-0.59783304
Northern Cyprus,-99,2019-02-15,1.8397826
Norway,-99,2019-02-15,0.59936374
Oman,OMN,2019-02-15,-1.2750005
Pakistan,PAK,2019-02-15,0.15565403
Palestine,PSE,2019-02-15,0.815114
Panama,PAN,2019-02-15,-0.80582446
Papua New Guinea,PNG,2019-02-15,-0.08012621
Paraguay,PRY,2019-02-15,-0.827476
Peru,PER,2019-02-15,0.30161572
Philippines,PHL,2019-02-15,-0.059102524
Poland,POL,2019-02-15,0.3337282
Portugal,PRT,2019-02-15,-1.6788759
Puerto Rico,PRI,2019-02-15,-0.5648288
Qatar,QAT,2019-02-15,-0.5994165
Republic of Serbia,SRB,2019-02-15,-0.56071955
Republic of the Congo,COG,2019-02-15,0.6061161
Romania,ROU,2019-02-15,0.35160893
Russia,RUS,2019-02-15,0.27609426
Rwanda,RWA,2019-02-15,-0.37216562
Saint Vincent and the Grenadines,VCT,2019-02-15,-1.8715507
Samoa,WSM,2019-02-15,1.0100273
Saudi Arabia,SAU,2019-02-15,0.084443495
Senegal,SEN,2019-02-15,-0.99121755
Siachen Glacier,-99,2019-02-15,1.3846908
Sierra Leone,SLE,2019-02-15,-0.20552367
Slovakia,SVK,2019-02-15,-0.43772846
Slovenia,SVN,2019-02-15,-1.1532017
Solomon Islands,SLB,2019-02-15,0.042715006
Somalia,SOM,2019-02-15,-0.66349924
Somaliland,-99,2019-02-15,-0.5381979
South Africa,ZAF,2019-02-15,-1.2204827
South Georgia and the Islands,SGS,2019-02-15,-2.0876002
South Korea,KOR,2019-02-15,-0.85170496
South Sudan,SSD,2019-02-15,-0.8052595
Spain,ESP,2019-02-15,-1.8005579
Sri Lanka,LKA,2019-02-15,-0.5825312
Sudan,SDN,2019-02-15,-0.82791054
Suriname,SUR,2019-02-15,-1.2484992
Sweden,SWE,2019-02-15,0.5225956
Switzerland,CHE,2019-02-15,0.36724076
Syria,SYR,2019-02-15,1.1747768
Taiwan,TWN,2019-02-15,-0.20247367
Tajikistan,TJK,2019-02-15,-0.18633519
Thailand,THA,2019-02-15,0.7094658
The Bahamas,BHS,2019-02-15,0.45336178
Togo,TGO,2019-02-15,-0.93800735
