iso_o,iso_d,contig,comlang_off,colony,border_friction
AGO,NAM,1,0,0,0.6666666666666667
AGO,NCL,0,0,0,1.0
AGO,NER,0,0,0,1.0
AGO,NFK,0,0,0,1.0
AGO,NGA,0,0,0,1.0
AGO,NIC,0,0,0,1.0
AGO,NIU,0,0,0,1.0
AGO,NLD,0,0,0,1.0
AGO,NOR,0,0,0,1.0
AGO,NPL,0,0,0,1.0
AGO,NRU,0,0,0,1.0
AGO,NZL,0,0,0,1.0
AGO,OMN,0,0,0,1.0
AGO,PAK,0,0,0,1.0
AGO,PAL,0,0,0,1.0
AGO,PAN,0,0,0,1.0
AGO,PCN,0,0,0,1.0
AGO,PER,0,0,0,1.0
AGO,PHL,0,0,0,1.0
AGO,PLW,0,0,0,1.0
AGO,PNG,0,0,0,1.0
AGO,POL,0,0,0,1.0
AGO,PRI,0,0,0,1.0
AGO,PRK,0,0,0,1.0
AGO,PRT,0,1,1,0.33333333333333337
AGO,PRY,0,0,0,1.0
AGO,PYF,0,0,0,1.0
AGO,QAT,0,0,0,1.0
AGO,REU,0,0,0,1.0
AGO,ROM,0,0,0,1.0
AGO,RUS,0,0,0,1.0
AGO,RWA,0,0,0,1.0
AGO,SAU,0,0,0,1.0
AGO,SDN,0,0,0,1.0
AGO,SEN,0,0,0,1.0
AGO,SGP,0,0,0,1.0
AGO,SHN,0,0,0,1.0
AGO,SLB,0,0,0,1.0
AGO,SLE,0,0,0,1.0
AGO,SLV,0,0,0,1.0
AGO,SMR,0,0,0,1.0
AGO,SOM,0,0,0,1.0
AGO,SPM,0,0,0,1.0
AGO,STP,0,1,0,0.6666666666666667
AGO,SUR,0,0,0,1.0
AGO,SVK,0,0,0,1.0
AGO,SVN,0,0,0,1.0
AGO,SWE,0,0,0,1.0
AGO,SWZ,0,0,0,1.0
AGO,SYC,0,0,0,1.0
AGO,SYR,0,0,0,1.0
AGO,TCA,0,0,0,1.0
AGO,TCD,0,0,0,1.0
AGO,TGO,0,0,0,1.0
AGO,THA,0,0,0,1.0
AGO,TJK,0,0,0,1.0
AGO,TKL,0,0,0,1.0
AGO,TKM,0,0,0,1.0
AGO,TMP,0,1,0,0.6666666666666667
AGO,TON,0,0,0,1.0
AGO,TTO,0,0,0,1.0
AGO,TUN,0,0,0,1.0
AGO,TUR,0,0,0,1.0
AGO,TUV,0,0,0,1.0
AGO,TWN,0,0,0,1.0
AGO,TZA,0,0,0,1.0
AGO,UGA,0,0,0,1.0
AGO,UKR,0,0,0,1.0
AGO,URY,0,0,0,1.0
AGO,USA,0,0,0,1.0
AGO,UZB,0,0,0,1.0
AGO,VCT,0,0,0,1.0
AGO,VEN,0,0,0,1.0
AGO,VGB,0,0,0,1.0
AGO,VNM,0,0,0,1.0
AGO,VUT,0,0,0,1.0
AGO,WLF,0,0,0,1.0
AGO,WSM,0,0,0,1.0
AGO,YEM,0,0,0,1.0
AGO,YUG,0,0,0,1.0
AGO,ZAF,0,0,0,1.0
AGO,ZAR,1,0,0,0.6666666666666667
AGO,ZMB,1,0,0,0.6666666666666667
AGO,ZWE,0,0,0,1.0
AIA,ABW,0,0,0,1.0
AIA,AFG,0,0,0,1.0
AIA,AGO,0,0,0,1.0
AIA,AIA,0,0,0,1.0
AIA,ALB,0,0,0,1.0
AIA,AND,0,0,0,1.0
AIA,ANT,0,0,0,1.0
AIA,ARE,0,0,0,1.0
AIA,ARG,0,0,0,1.0
AIA,ARM,0,0,0,1.0
AIA,ATG,0,1,0,0.6666666666666667
AIA,AUS,0,1,0,0.6666666666666667
AIA,AUT,0,0,0,1.0
AIA,AZE,0,0,0,1.0
AIA,BDI,0,0,0,1.0
AIA,BEL,0,0,0,1.0
AIA,BEN,0,0,0,1.0
AIA,BFA,0,0,0,1.0
AIA,BGD,0,0,0,1.0
AIA,BGR,0,0,0,1.0
AIA,BHR,0,0,0,1.0
AIA,BHS,0,1,0,0.6666666666666667
AIA,BIH,0,0,0,1.0
AIA,BLR,0,0,0,1.0
AIA,BLZ,0,1,0,0.6666666666666667
AIA,BMU,0,1,0,0.6666666666666667
AIA,BOL,0,0,0,1.0
AIA,BRA,0,0,0,1.0
AIA,BRB,0,1,0,0.6666666666666667
AIA,BRN,0,0,0,1.0
AIA,BTN,0,0,0,1.0
AIA,BWA,0,1,0,0.6666666666666667
AIA,CAF,0,0,0,1.0
AIA,CAN,0,1,0,0.6666666666666667
AIA,CCK,0,0,0,1.0
AIA,CHE,0,0,0,1.0
AIA,CHL,0,0,0,1.0
AIA,CHN,0,0,0,1.0
AIA,CIV,0,0,0,1.0
AIA,CMR,0,1,0,0.6666666666666667
AIA,COG,0,0,0,1.0
AIA,COK,0,1,0,0.6666666666666667
AIA,COL,0,0,0,1.0
AIA,COM,0,0,0,1.0
AIA,CPV,0,0,0,1.0
AIA,CRI,0,0,0,1.0
AIA,CUB,0,0,0,1.0
AIA,CXR,0,1,0,0.6666666666666667
AIA,CYM,0,1,0,0.6666666666666667
AIA,CYP,0,0,0,1.0
AIA,CZE,0,0,0,1.0
AIA,DEU,0,0,0,1.0
AIA,DJI,0,0,0,1.0
AIA,DMA,0,1,0,0.6666666666666667
AIA,DNK,0,0,0,1.0
AIA,DOM,0,0,0,1.0
AIA,DZA,0,0,0,1.0
AIA,ECU,0,0,0,1.0
AIA,EGY,0,0,0,1.0
AIA,ERI,0,1,0,0.6666666666666667
AIA,ESH,0,0,0,1.0
AIA,ESP,0,0,0,1.0
AIA,EST,0,0,0,1.0
AIA,ETH,0,1,0,0.6666666666666667
AIA,FIN,0,0,0,1.0
AIA,FJI,0,1,0,0.6666666666666667
AIA,FLK,0,1,0,0.6666666666666667
AIA,FRA,0,0,0,1.0
AIA,FRO,0,0,0,1.0
AIA,FSM,0,1,0,0.6666666666666667
AIA,GAB,0,0,0,1.0
AIA,GBR,0,1,1,0.33333333333333337
AIA,GEO,0,0,0,1.0
AIA,GHA,0,1,0,0.6666666666666667
AIA,GIB,0,1,0,0.6666666666666667
AIA,GIN,0,0,0,1.0
AIA,GLP,0,0,0,1.0
AIA,GMB,0,1,0,0.6666666666666667
AIA,GNB,0,0,0,1.0
AIA,GNQ,0,0,0,1.0
