Country Name,Country Code,Indicator Code,2019,2020,2021,2022
Nicaragua,NIC,NY.GDP.MKTP.CD,12699023614.244965,12726422432.486843,14209020361.850782,15634572502.229374
Niger,NER,NY.GDP.MKTP.CD,12889555561.22991,13744653103.057987,14915002436.069023,15433852714.493536
Nigeria,NGA,NY.GDP.MKTP.CD,474517490844.461,432198898467.79486,440833635873.82666,477403400101.1737
North Macedonia,MKD,NY.GDP.MKTP.CD,12606338448.546968,12361036913.840923,14000283827.01538,13932436550.088305
Northern Mariana Islands,MNP,NY.GDP.MKTP.CD,1179000000.0,866000000.0,914000000.0,1096000000.0
Norway,NOR,NY.GDP.MKTP.CD,408742840909.0909,367633418886.62726,503367986030.26776,596297651035.7977
Oman,OMN,NY.GDP.MKTP.CD,88060858257.47723,75909492847.85435,87323797139.14174,109852795838.75162
Pakistan,PAK,NY.GDP.MKTP.CD,320909472770.6687,300425609817.9812,348516647445.14844,374890295666.69366
Palau,PLW,NY.GDP.MKTP.CD,281941600.0,258990800.0,235752900.0,255591100.0
Panama,PAN,NY.GDP.MKTP.CD,69778991200.0,57059846500.0,67396392500.0,76276116700.0
Papua New Guinea,PNG,NY.GDP.MKTP.CD,24750626029.877747,23848447849.60812,26109413521.31173,31653185952.60895
Paraguay,PRY,NY.GDP.MKTP.CD,37925338329.149445,35432178068.18139,39950899938.74815,41952910858.08799
Peru,PER,NY.GDP.MKTP.CD,228346006003.64825,201409694755.9344,226328766459.6344,246065570308.1549
Philippines,PHL,NY.GDP.MKTP.CD,376823402239.1359,361751145451.5968,394087359848.11,404353369604.6311
Poland,POL,NY.GDP.MKTP.CD,602683770144.8804,605914186117.9535,689170171187.0038,695607522884.8224
Portugal,PRT,NY.GDP.MKTP.CD,240115970063.01923,229618773422.5765,256055879091.13928,256898675068.92703
Puerto Rico (US),PRI,NY.GDP.MKTP.CD,105126400000.0,103130900000.0,106426600000.0,113843700000.0
Qatar,QAT,NY.GDP.MKTP.CD,176371267692.30768,144411363351.64835,179732009560.43954,235709325714.2857
Romania,ROU,NY.GDP.MKTP.CD,251677082534.49512,252033792712.14456,286578196368.29675,296354358293.4749
Russian Federation,RUS,NY.GDP.MKTP.CD,1693115002708.3157,1493075894362.1426,1829186719575.096,2291612121334.643
Rwanda,RWA,NY.GDP.MKTP.CD,10349300276.762283,10174386854.812006,11078787095.179085,13316161005.72444
Samoa,WSM,NY.GDP.MKTP.CD,912950466.0649056,868898358.2664367,843923638.7330176,832945205.6371847
San Marino,SMR,NY.GDP.MKTP.CD,1616232125.1258738,1544714493.2440896,1855395999.7653444,1831700577.0890372
Sao Tome and Principe,STP,NY.GDP.MKTP.CD,412976082.6207053,471229484.6071443,524402455.5481601,540809499.1893485
Saudi Arabia,SAU,NY.GDP.MKTP.CD,888890133333.3334,767951200000.0,982661066666.6666,1239075200000.0
Senegal,SEN,NY.GDP.MKTP.CD,23403995992.13541,24530513037.751846,27520784129.750805,27783332222.675926
Serbia,SRB,NY.GDP.MKTP.CD,53864693664.55677,55874017668.998,66159884072.530846,66797564758.339
Seychelles,SYC,NY.GDP.MKTP.CD,1868690096.7345407,1382551751.5690813,1487173794.8052788,2018346588.7375247
Sierra Leone,SLE,NY.GDP.MKTP.CD,6526183564.198925,6693888876.285653,7173379137.260912,7124465159.653038
Singapore,SGP,NY.GDP.MKTP.CD,376161998830.0476,349165858544.5685,436591382250.4639,509017841146.5568
Sint Maarten (Dutch part),SXM,NY.GDP.MKTP.CD,1407880446.9273744,1236428100.558659,1353071061.452514,1537088715.083799
Slovak Republic,SVK,NY.GDP.MKTP.CD,105843498304.09396,107732602896.44077,120560912620.59885,115884262197.69696
Slovenia,SVN,NY.GDP.MKTP.CD,53909922735.54501,53384760135.15813,61529280461.09203,59927702746.28428
Solomon Islands,SLB,NY.GDP.MKTP.CD,1619155017.392397,1536145814.1700656,1522794913.091401,1566360686.106321
Somalia,SOM,NY.GDP.MKTP.CD,8655023960.001022,8628393720.001848,9483997390.000618,10202767269.99924
South Africa,ZAF,NY.GDP.MKTP.CD,389330032224.2691,337974655408.0553,420886877628.7027,406920004594.0741
South Sudan,SSD,NY.GDP.MKTP.CD,,,,
Spain,ESP,NY.GDP.MKTP.CD,1403496387686.2722,1289783836971.2097,1461244901852.6897,1446498147749.033
Sri Lanka,LKA,NY.GDP.MKTP.CD,88998706296.57828,84335574581.50722,88556698937.70328,74143020262.80765
St. Kitts and Nevis,KNA,NY.GDP.MKTP.CD,1107855555.5555556,883922222.2222222,858622222.2222222,980188888.8888888
St. Lucia,LCA,NY.GDP.MKTP.CD,2095344444.4444444,1499274074.074074,1867185185.185185,2342714814.8148146
St. Martin (French part),MAF,NY.GDP.MKTP.CD,652205849.3879564,,649206156.1942071,
St. Vincent and the Grenadines,VCT,NY.GDP.MKTP.CD,910481481.4814814,864566666.6666666,888677777.7777777,989188888.8888888
Sudan,SDN,NY.GDP.MKTP.CD,32338079165.289257,27034593750.0,34229513774.993607,51666875363.0963
Suriname,SUR,NY.GDP.MKTP.CD,4016040575.0879593,2911807496.2022653,3107923197.9695435,3791603200.025902
Sweden,SWE,NY.GDP.MKTP.CD,532169294165.9397,545147614972.1406,637186904843.6361,579895717343.956
Switzerland,CHE,NY.GDP.MKTP.CD,721369112726.7239,741999406005.6272,815309330986.7185,828508926958.3933
Syrian Arab Republic,SYR,NY.GDP.MKTP.CD,22583045060.08206,12047752036.091032,14353205678.499138,23622827079.50465
Tajikistan,TJK,NY.GDP.MKTP.CD,8300813599.3084,8133963550.657425,8937805347.13963,10713525200.39978
Tanzania,TZA,NY.GDP.MKTP.CD,61026731925.92128,66068737786.06392,70655628147.89859,75769974505.01057
