iso_o,iso_d,distw
AGO,DJI,4027.681
AGO,DMA,8747.454
AGO,DNK,7308.257
AGO,DOM,9734.701
AGO,DZA,5223.227
AGO,ECU,10339.43
AGO,EGY,4814.249
AGO,ERI,3958.309
AGO,ESH,5009.332
AGO,ESP,5815.769
AGO,EST,7745.417
AGO,ETH,3510.41
AGO,FIN,7962.544
AGO,FJI,16508.95
AGO,FLK,7893.728
AGO,FRA,6384.804
AGO,FRO,8196.326
AGO,FSM,15531.28
AGO,GAB,1179.842
AGO,GBR,7092.603
AGO,GEO,6526.834
AGO,GHA,2422.776
AGO,GIB,5496.657
AGO,GIN,3666.297
AGO,GLP,8790.341
AGO,GMB,4221.764
AGO,GNB,4045.287
AGO,GNQ,1483.461
AGO,GRC,5457.884
AGO,GRD,8698.281
AGO,GRL,9932.566
AGO,GTM,11836.52
AGO,GUF,7570.759
AGO,GUY,8175.561
AGO,HKG,11483.77
AGO,HND,11505.41
AGO,HRV,6139.053
AGO,HTI,9973.872
AGO,HUN,6385.492
AGO,IDN,10408.96
AGO,IND,7771.995
AGO,IRL,7275.03
AGO,IRN,6361.974
AGO,IRQ,5831.624
AGO,ISL,8765.366
AGO,ISR,5173.667
AGO,ITA,5850.538
AGO,JAM,10439.65
AGO,JOR,5211.9
AGO,JPN,13676.42
AGO,KAZ,8603.075
AGO,KEN,2758.796
AGO,KGZ,8434.702
AGO,KHM,10326.07
AGO,KIR,17603.96
AGO,KNA,8846.593
AGO,KOR,12773.39
AGO,KWT,5693.167
AGO,LAO,10337.57
AGO,LBN,5380.279
AGO,LBR,3228.089
AGO,LBY,4687.459
AGO,LCA,8669.954
AGO,LKA,7604.338
AGO,LSO,2617.787
AGO,LTU,7297.73
AGO,LUX,6656.551
AGO,LVA,7480.259
AGO,MAC,
AGO,MAR,5301.951
AGO,MDA,6509.113
AGO,MDG,3785.104
AGO,MDV,6772.012
AGO,MEX,13000.27
AGO,MHL,17390.41
AGO,MKD,5796.155
AGO,MLI,3462.446
AGO,MLT,5089.842
AGO,MMR,9564.913
AGO,MNG,10968.16
AGO,MNP,14777.87
AGO,MOZ,2664.913
AGO,MRT,4436.974
AGO,MSR,
AGO,MTQ,8690.882
AGO,MUS,4828.119
AGO,MWI,2315.348
AGO,MYS,10111.01
AGO,NAM,1424.021
AGO,NCL,15397.97
AGO,NER,2857.859
AGO,NFK,14899.56
AGO,NGA,2209.762
AGO,NIC,11323.73
AGO,NIU,16793.27
AGO,NLD,6942.261
AGO,NOR,7837.547
AGO,NPL,8698.173
AGO,NRU,16832.42
AGO,NZL,14192.41
AGO,OMN,5999.047
AGO,PAK,7482.472
AGO,PAL,5128.349
AGO,PAN,10612.11
AGO,PCN,
AGO,PER,9846.797
AGO,PHL,12190.0
AGO,PLW,13505.62
AGO,PNG,14498.28
AGO,POL,6880.082
AGO,PRI,9327.696
AGO,PRK,12652.69
AGO,PRT,5956.993
AGO,PRY,7629.714
AGO,PYF,16484.36
AGO,QAT,5653.597
AGO,REU,4629.892
AGO,ROM,6269.026
AGO,RUS,8103.861
AGO,RWA,1996.589
AGO,SAU,4945.64
AGO,SDN,3417.58
AGO,SEN,4348.78
AGO,SGP,10046.3
AGO,SHN,2653.721
AGO,SLB,15701.08
AGO,SLE,3571.073
AGO,SLV,11659.59
AGO,SMR,5985.859
AGO,SOM,3777.943
AGO,SPM,9340.195
AGO,STP,1389.717
AGO,SUR,7830.845
AGO,SVK,6525.123
AGO,SVN,6231.905
AGO,SWE,7644.175
AGO,SWZ,2623.159
AGO,SYC,4637.132
AGO,SYR,5567.093
AGO,TCA,9909.065
AGO,TCD,2372.16
AGO,TGO,2363.266
AGO,THA,9936.604
AGO,TJK,7875.684
AGO,TKL,17829.95
AGO,TKM,7175.504
AGO,TMP,12203.58
AGO,TON,16490.04
AGO,TTO,8628.048
AGO,TUN,5108.719
AGO,TUR,5816.24
AGO,TUV,17424.38
AGO,TWN,12198.56
AGO,TZA,2596.974
AGO,UGA,2384.524
AGO,UKR,6798.637
AGO,URY,7575.981
AGO,USA,12153.61
AGO,UZB,7929.39
AGO,VCT,8674.43
AGO,VEN,9298.371
AGO,VGB,9160.086
AGO,VNM,10600.14
AGO,VUT,15904.93
AGO,WLF,17235.04
AGO,WSM,17327.34
AGO,YEM,4339.131
AGO,YUG,6037.035
AGO,ZAF,2579.672
AGO,ZAR,1026.17
AGO,ZMB,1683.337
AGO,ZWE,2048.661
AIA,ABW,976.8973
AIA,AFG,12205.45
AIA,AGO,8998.16
AIA,AIA,19.41249
AIA,ALB,8114.945
AIA,AND,6593.265
AIA,ANT,801.7491
AIA,ARE,11801.63
AIA,ARG,5734.338
AIA,ARM,10132.05
AIA,ATG,178.2644
AIA,AUS,16609.93
AIA,AUT,7660.495
AIA,AZE,10449.22
AIA,BDI,10417.11
AIA,BEL,6877.249
AIA,BEN,7152.954
AIA,BFA,6547.668
AIA,BGD,14561.87
AIA,BGR,8494.871
AIA,BHR,11327.4
AIA,BHS,1686.816
AIA,BIH,7912.051
AIA,BLR,8463.621
AIA,BLZ,2687.769
AIA,BMU,1582.113
AIA,BOL,3985.427
AIA,BRA,4549.716
AIA,BRB,677.412
AIA,BRN,17460.93
AIA,BTN,14193.93
AIA,BWA,10732.77
AIA,CAF,8952.078
AIA,CAN,3993.272
AIA,CCK,
AIA,CHE,7100.076
AIA,CHL,5792.192
AIA,CHN,14003.87
AIA,CIV,6471.648
AIA,CMR,8180.709
AIA,COG,8814.168
AIA,COK,11386.74
AIA,COL,1884.304
AIA,COM,12179.98
AIA,CPV,4156.071
AIA,CRI,2449.388
AIA,CUB,1790.996
AIA,CXR,
AIA,CYM,1931.98
AIA,CYP,9424.984
AIA,CZE,7669.871
AIA,DEU,7267.052
AIA,DJI,11281.81
AIA,DMA,363.6189
AIA,DNK,7382.494
AIA,DOM,745.2693
AIA,DZA,6742.428
AIA,ECU,2830.943
AIA,EGY,9400.008
AIA,ERI,10760.84
AIA,ESH,5160.749
AIA,ESP,6212.857
AIA,EST,8209.593
AIA,ETH,10933.79
AIA,FIN,8136.707
AIA,FJI,13576.69
AIA,FLK,7802.906
AIA,FRA,6743.427
AIA,FRO,6505.925
AIA,FSM,15133.07
AIA,GAB,8233.01
AIA,GBR,6522.121
AIA,GEO,9991.987
AIA,GHA,6881.755
AIA,GIB,5961.704
