country,date,spei
Republic of Serbia,2019-02-15,-0.56071955
Republic of the Congo,2019-02-15,0.6061161
Romania,2019-02-15,0.35160893
Russia,2019-02-15,0.27609426
Rwanda,2019-02-15,-0.37216562
Saint Vincent and the Grenadines,2019-02-15,-1.8715507
Samoa,2019-02-15,1.0100273
Saudi Arabia,2019-02-15,0.084443495
Senegal,2019-02-15,-0.99121755
Siachen Glacier,2019-02-15,1.3846908
Sierra Leone,2019-02-15,-0.20552367
Slovakia,2019-02-15,-0.43772846
Slovenia,2019-02-15,-1.1532017
Solomon Islands,2019-02-15,0.042715006
Somalia,2019-02-15,-0.66349924
Somaliland,2019-02-15,-0.5381979
South Africa,2019-02-15,-1.2204827
South Georgia and the Islands,2019-02-15,-2.0876002
South Korea,2019-02-15,-0.85170496
South Sudan,2019-02-15,-0.8052595
Spain,2019-02-15,-1.8005579
Sri Lanka,2019-02-15,-0.5825312
Sudan,2019-02-15,-0.82791054
Suriname,2019-02-15,-1.2484992
Sweden,2019-02-15,0.5225956
Switzerland,2019-02-15,0.36724076
Syria,2019-02-15,1.1747768
Taiwan,2019-02-15,-0.20247367
Tajikistan,2019-02-15,-0.18633519
Thailand,2019-02-15,0.7094658
The Bahamas,2019-02-15,0.45336178
Togo,2019-02-15,-0.93800735
Trinidad and Tobago,2019-02-15,-2.2321162
Tunisia,2019-02-15,-0.6264791
Turkey,2019-02-15,1.3766396
Turkmenistan,2019-02-15,0.5402765
Uganda,2019-02-15,0.8021758
Ukraine,2019-02-15,0.668312
United Arab Emirates,2019-02-15,-0.017916514
United Kingdom,2019-02-15,-0.94612706
United Republic of Tanzania,2019-02-15,-0.021003693
United States Virgin Islands,2019-02-15,-0.6187411
United States of America,2019-02-15,1.0032333
Uruguay,2019-02-15,1.6878042
Uzbekistan,2019-02-15,0.09837133
Vanuatu,2019-02-15,0.09805446
Venezuela,2019-02-15,-0.6378819
Vietnam,2019-02-15,0.6123382
Western Sahara,2019-02-15,-0.88618124
Yemen,2019-02-15,-1.0053806
Zambia,2019-02-15,0.16444872
Zimbabwe,2019-02-15,0.13480398
eSwatini,2019-02-15,-0.9924674
Afghanistan,2019-03-16,0.7164733
Aland,2019-03-16,1.1596091
Albania,2019-03-16,-0.6255829
Algeria,2019-03-16,-0.5180652
Angola,2019-03-16,0.076445304
Antarctica,2019-03-16,
Argentina,2019-03-16,0.1667355
Armenia,2019-03-16,0.771645
Australia,2019-03-16,-0.8929997
Austria,2019-03-16,-0.28448966
Azerbaijan,2019-03-16,0.34052488
Bangladesh,2019-03-16,1.0899463
Belarus,2019-03-16,-0.6118637
Belgium,2019-03-16,-0.04304186
Belize,2019-03-16,-0.864034
Benin,2019-03-16,-0.5639366
Bhutan,2019-03-16,0.365998
Bolivia,2019-03-16,-0.8231644
Bosnia and Herzegovina,2019-03-16,-1.3798658
Botswana,2019-03-16,-0.47903395
Brazil,2019-03-16,-0.34667435
Brunei,2019-03-16,-1.4311981
Bulgaria,2019-03-16,-1.1767316
Burkina Faso,2019-03-16,-0.20680636
Burundi,2019-03-16,-1.7624912
Cabo Verde,2019-03-16,0.26026055
Cambodia,2019-03-16,-0.15672389
Cameroon,2019-03-16,0.1528231
Canada,2019-03-16,-0.074866906
Cayman Islands,2019-03-16,
Central African Republic,2019-03-16,-0.4714316
Chad,2019-03-16,-1.1500866
Chile,2019-03-16,-0.17724389
China,2019-03-16,-0.6264081
Colombia,2019-03-16,-0.3220051
Comoros,2019-03-16,-1.9016781
Costa Rica,2019-03-16,-0.17386988
Croatia,2019-03-16,-1.3726158
Cuba,2019-03-16,0.08285605
Cyprus,2019-03-16,1.2688282
Czechia,2019-03-16,-0.9569414
Democratic Republic of the Congo,2019-03-16,-0.17670408
Denmark,2019-03-16,0.9920071
Djibouti,2019-03-16,-0.7716484
