iso3,year,gdp_pc,pop,urban,unemp,political_stability
CYP,2022,10.426262551978144,14.1017190452225,66.911,7.513,0.4238112270832062
CZE,2019,10.07348063255074,16.18312186565405,73.921,2.246,0.9419956803321838
CZE,2020,10.088418992342875,16.18555409247617,74.061,2.015,0.9123280048370361
CZE,2021,10.063601483022085,16.167435378375917,74.214,2.55,0.9475378394126892
CZE,2022,10.229059956680214,16.183145104047927,74.377,2.803,0.8141145706176758
DEU,2019,10.797018422661445,18.235470563098215,77.376,3.384,0.5485398769378662
DEU,2020,10.771089292879866,18.23628749468471,77.453,3.163,0.6450491547584534
DEU,2021,10.765950521907927,18.236710765257264,77.544,3.881,0.7257881760597229
DEU,2022,10.864094726143279,18.243919519817155,77.648,3.594,0.6284918785095215
DJI,2019,7.907682274149239,13.90050314857525,77.915,26.184,-0.34338805079460144
DJI,2020,7.950562011253852,13.915526014209151,78.062,26.256,-0.44820237159729004
DJI,2021,7.953279015902468,13.92995290863003,78.217,27.713,-0.5663247108459473
DJI,2022,8.014967569442287,13.94398820188611,78.38,27.668,-0.5073860883712769
DMA,2019,9.128621351970367,11.125496719348163,70.786,,1.0299415588378906
DMA,2020,9.158115060197824,11.120963773962298,71.09,,1.317089557647705
DMA,2021,8.965430190391503,11.115458287973127,71.395,,1.3341306447982788
DMA,2022,9.033174001316079,11.109847505354562,71.7,,1.308010458946228
DNK,2019,11.023939061611191,15.575851940886242,87.994,5.131,0.9675987362861633
DNK,2020,10.992121326420907,15.578768352661008,88.116,5.018,0.9202337265014648
DNK,2021,11.018391222398014,15.583102497555105,88.24,5.637,0.9286626577377319
DNK,2022,11.152357056578962,15.590977522202506,88.367,5.043,0.86891770362854
DOM,2019,8.972461565044354,16.203726684044828,81.828,5.861,-0.003112269565463066
DOM,2020,9.009816094639277,16.214160091690886,82.54,6.356,0.1649812012910843
DOM,2021,8.872798746320544,16.224568387868715,83.213,6.126,0.287386029958725
DOM,2022,9.05100173126772,16.234164685219852,83.848,7.702,0.24928763508796692
DZA,2019,8.428844984934631,17.583537226609728,73.189,12.137,-1.0558538436889648
DZA,2020,8.40479763642708,17.60065634825567,73.733,12.259,-0.8478204011917114
DZA,2021,8.227787488311003,17.61684999427905,74.261,14.057,-0.9924571514129639
DZA,2022,8.333404783490614,17.632725815348117,74.772,13.63,-0.6506523489952087
EAP,2019,8.992923453168633,21.471038452367484,56.57602106754011,3.802343783435901,
EAP,2020,9.022375683663007,21.475561865727954,57.48453968089424,3.893305530577544,
EAP,2021,9.034958883221595,21.47870859262008,58.365536900363566,4.36073968094378,
EAP,2022,9.20780078996749,21.48105797422946,59.22148416377907,4.122485916570271,
EAR,2019,8.165012765327598,21.933722016600274,45.37626401449492,6.79972998966452,
EAR,2020,8.172820522373485,21.945879178014547,45.78781492573128,6.3347113042357845,
EAR,2021,8.086640940209016,21.95641662110733,46.18540969272297,7.410809782099925,
EAR,2022,8.23363880111587,21.967606244764635,46.62515460236719,6.786333958603793,
EAS,2019,9.340884385589392,21.581830455516826,59.87255834431975,3.744974769102249,
EAS,2020,9.356885761601061,21.585918921003735,60.682234515488936,3.8147210003949934,
EAS,2021,9.358354613089917,21.588324079321204,61.45940023400117,4.289700498922305,
EAS,2022,9.494222509057924,21.59021849689709,62.22573126511048,4.054342452526572,
ECA,2019,8.691524583343348,19.33241336741589,63.538180257183896,8.661131657451925,
ECA,2020,8.702948297087012,19.33961042673059,63.76311537877268,9.164450303010447,
ECA,2021,8.654067074958697,19.3456918664548,63.99197909098351,9.316387245182232,
ECA,2022,8.798356771129507,19.340327438279825,64.16972587626603,9.010554342732746,
ECS,2019,10.141033916055157,20.642292796814473,72.37881915765898,6.898466519394116,
ECS,2020,10.125647285785758,20.6441943153523,72.58462866555564,6.6450735805812045,
ECS,2021,10.090857971663146,20.64498313580234,72.79985755127728,7.11300236808992,
ECS,2022,10.225259803225274,20.645370530039898,73.03962012906057,6.910928565779902,
ECU,2019,8.748926761306318,16.6685277403886,63.986,3.53,-0.23821775615215302
ECU,2020,8.733119988887674,16.68034026621165,64.166,3.812,-0.27024322748184204
ECU,2021,8.605871456514745,16.688083406446793,64.361,6.127,-0.2573873698711395
ECU,2022,8.709683454857418,16.696050642967137,64.57,4.552,-0.3712243139743805
EGY,2019,7.817908477192321,18.493495776333862,42.73,9.855,-1.1246308088302612
EGY,2020,7.99395380819095,18.509745315029033,42.783,7.851,-1.181932806968689
EGY,2021,8.163688590984506,18.524653368935343,42.862,7.974,-1.0328643321990967
EGY,2022,8.249929021970582,18.539514338689372,42.967,7.441,-0.978700578212738
EMU,2019,10.599049620036945,19.663383567022308,76.99972316915745,8.158556294489586,
EMU,2020,10.576751136841832,19.664795400514222,77.23498135936505,7.519361422542613,
EMU,2021,10.551494406866679,19.66543225194152,77.47162405071272,7.829555597005183,
EMU,2022,10.668193596805637,19.669725049640938,77.7126830118197,7.7223522890732275,
ERI,2019,,14.991143762519194,40.712,5.511,-0.7059687972068787
ERI,2020,,15.006784370326802,41.347,5.552,-0.992741048336029
ERI,2021,,15.024525529174928,41.985,6.088,-1.0556821823120117
ERI,2022,,15.042060666020733,42.625,6.177,-0.9571950435638428
ESP,2019,10.328834411872553,17.668176284407693,80.565,15.255,0.2927687466144562
ESP,2020,10.301811374547727,17.673276386303904,80.81,14.104,0.4114484488964081
ESP,2021,10.212219365717727,17.675056853255118,81.056,15.532,0.5092355608940125
ESP,2022,10.335253007576831,17.68224540204672,81.304,14.781,0.31884342432022095
EST,2019,10.069770175776512,14.098354445250802,69.051,5.412,0.6301977634429932
EST,2020,10.086694140130204,14.100330037102578,69.229,4.514,0.7098169922828674
EST,2021,10.083055068025153,14.10139000666568,69.415,6.956,0.7485895156860352
EST,2022,10.238307246711368,14.114755521780507,69.609,6.178,0.7278808951377869
ETH,2019,6.617360201220894,18.566834242829625,21.225,2.802,-1.3037627935409546
